Bell,John 
Bello,Gonzalo 
Berger-Wolf,Tanya 
J. Bernstein,Daniel 
Burton,Emanuelle 
Buy,Ugo 
Caragea,Cornelia 
Chattopadhyay,Debaleena 
Cranch,Cody 
Cruz,Isabel 
DasGupta,Bhaskar 
Di Eugenio,Barbara 
Eriksson,Jakob 
Gmytrasiewicz,Piotr 
Grechanik,Mark 
Hayes,David 
Hummel,Joe 
Johnson,Andrew 
Kanich,Chris 
Kash,Ian 
Kenyon,Robert 
Kshemkalyani,Ajay 
Lillis,John 
Liu,Bing 
Mansky,William 
Elisabeta Marai,G. 
McCarty,Evan 
Mobasheri,Nasim 
Nelson,Peter 
Parde,Natalie 
Polakis,Jason 
Reckinger,Shanon 
Reckinger,Scott 
Reed,Dale 
Renambot,Luc 
Sidiropoulos,Anastasios 
Sistla,Prasad 
Sloan,Robert 
Solworth,Jon 
Stephens,Brent 
Sun,Xiaorui 
Theys,Mitchell 
Troy,Patrick 
Vamanan,Balajee 
N. Venkatakrishnan,V. 
Wolfson,Ouri 
Wu,Xingbo 
S. Yu,Philip 
Zhang,Xinhua 
Zheleva,Elena 
Ziebart,Brian 
Zuck,Lenore 
